2025-10-05 21:01:59.006798     kpi-001- start: 03_(L-1,R-2)---stop: 03_(L-1,R-2) 
2025-10-05 21:02:08.465259     kpi-002- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-05 21:02:17.289437     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-05 21:02:25.805649     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:02:34.513181     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:02:43.080326     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:02:51.512922     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:03:01.357782     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:03:10.634961     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:03:18.971757     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:03:27.586392     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:03:37.667254     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:03:47.802106     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:03:57.818192     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:04:08.015786     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:04:18.130198     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:04:28.300138     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:04:37.604586     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:04:46.100149     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:04:54.721259     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
