2025-10-07 21:51:31.516832     kpi-001- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
2025-10-07 21:51:40.235171     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:51:48.794535     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:51:57.271989     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:52:05.928251     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:52:14.661130     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:52:23.176093     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:52:33.043791     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:52:43.040939     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:52:53.155067     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:53:03.232595     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:53:13.292643     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:53:23.441659     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:53:33.565496     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:53:43.625931     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:53:53.678545     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:54:03.793970     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:54:13.904098     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:54:23.926706     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:54:34.191805     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
