2025-10-05 21:05:16.962278     kpi-001- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
2025-10-05 21:05:25.664988     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:05:34.184078     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:05:42.653008     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:05:51.298783     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:05:59.970242     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:06:10.062468     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:06:20.029191     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:06:30.030583     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:06:40.086154     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:06:50.158495     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:07:00.226065     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:07:10.392920     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:07:20.519118     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:07:30.550727     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:07:40.510243     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:07:50.592192     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:08:00.614052     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:08:10.637169     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 21:08:20.846532     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
