2025-06-20 07:35:30.078803     kpi-001- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-06-20 07:36:02.890271     kpi-002- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:36:35.697897     kpi-003- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:37:08.439239     kpi-004- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:37:41.098052     kpi-005- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:38:14.426597     kpi-006- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:38:46.799738     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:39:19.584699     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:39:52.198300     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:40:24.937033     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:40:58.186320     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:41:31.265298     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:42:03.768763     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:42:36.444902     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:43:09.406843     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:43:42.131564     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:44:15.068029     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:44:47.857214     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:45:20.159837     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 07:45:53.118644     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
