2025-06-20 20:34:21.350087     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-06-20 20:34:58.794429     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:35:36.408590     kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:36:13.689241     kpi-004- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:36:51.184654     kpi-005- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:37:28.438104     kpi-006- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:38:05.633065     kpi-007- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:38:42.908415     kpi-008- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:39:20.222232     kpi-009- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:39:58.073074     kpi-010- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:40:34.942812     kpi-011- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:41:12.989597     kpi-012- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:41:50.361422     kpi-013- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:42:27.886264     kpi-014- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:43:05.762932     kpi-015- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:43:43.346354     kpi-016- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:44:21.270292     kpi-017- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:44:59.055856     kpi-018- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:45:37.490722     kpi-019- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:46:15.391519     kpi-020- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
