2025-06-20 20:47:07.259317     kpi-001- start: 04_(L-1,R-3)---stop: 06_(L-1,R-5) 
2025-06-20 20:47:45.196510     kpi-002- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:48:23.719327     kpi-003- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:49:01.633001     kpi-004- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:49:39.964177     kpi-005- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:50:17.917982     kpi-006- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:50:56.388701     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:51:34.274516     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:52:13.070134     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:52:51.427507     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:53:29.503144     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:54:07.408660     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:54:45.597724     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:55:23.343277     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:56:01.161343     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:56:39.403027     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:57:17.904971     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:57:56.060093     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:58:33.703378     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-20 20:59:11.669943     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
