2025-06-19 22:27:19.901570     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-06-19 22:27:52.386793     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-19 22:28:25.732864     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-06-19 22:28:59.033542     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:29:33.044085     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:30:06.686264     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:30:40.181615     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:31:13.819528     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:31:47.349070     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:32:21.185367     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:32:54.673000     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:33:28.301406     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:34:01.681907     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:34:35.070104     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:35:08.573232     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:35:42.086071     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:36:15.789341     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:36:49.528736     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:37:23.235292     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-19 22:37:56.606089     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
