2025-10-08 17:55:53.085121     kpi-001- start: 08_(L-1,R-7)---stop: 09_(L-1,R-8) 
2025-10-08 17:56:22.408330     kpi-002- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 17:56:52.003661     kpi-003- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 17:57:21.537341     kpi-004- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 17:57:51.419721     kpi-005- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 17:58:21.051469     kpi-006- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 17:58:50.910972     kpi-007- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 17:59:21.016675     kpi-008- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 17:59:50.828348     kpi-009- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:00:20.745993     kpi-010- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:00:50.272565     kpi-011- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:01:19.965561     kpi-012- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:01:49.751622     kpi-013- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:02:19.658078     kpi-014- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:02:49.573851     kpi-015- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:03:19.578656     kpi-016- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:03:49.344237     kpi-017- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:04:15.909083     kpi-018- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:04:43.617766     kpi-019- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-08 18:05:13.371134     kpi-020- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
