2025-10-03 17:53:51.381831     kpi-001- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
2025-10-03 17:54:00.107357     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:54:08.675115     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:54:17.401031     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:54:27.685295     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:54:38.062801     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:54:48.178121     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:54:58.134342     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:55:08.120450     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:55:18.242791     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:55:28.271270     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:55:38.354045     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:55:48.502452     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:55:57.561074     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:56:06.013992     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:56:14.467816     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:56:22.916388     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:56:31.359769     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:56:39.797216     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:56:49.204719     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
