2025-10-05 11:28:55.271295     kpi-001- start: 07_(L-1,R-6)---stop: 08_(L-1,R-7) 
2025-10-05 11:29:33.370483     kpi-002- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:30:11.340821     kpi-003- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:30:49.371668     kpi-004- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:31:27.219100     kpi-005- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:32:05.482861     kpi-006- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:32:42.845355     kpi-007- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:33:20.628836     kpi-008- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:33:58.801082     kpi-009- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:34:36.736535     kpi-010- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:35:14.471304     kpi-011- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:35:52.691657     kpi-012- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:36:30.730593     kpi-013- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-05 11:57:28.949243     kpi-001- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:57:55.337052     kpi-002- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:58:23.581589     kpi-003- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:58:54.034545     kpi-004- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:59:25.085068     kpi-005- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:59:55.767320     kpi-006- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:00:26.971686     kpi-007- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:01:01.575306     kpi-008- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:01:38.278669     kpi-009- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:02:15.145938     kpi-010- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:02:51.360826     kpi-011- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:03:27.640512     kpi-012- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:04:03.852749     kpi-013- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:04:40.525216     kpi-014- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:05:16.844493     kpi-015- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:05:53.498468     kpi-016- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:06:29.774624     kpi-017- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:07:06.180284     kpi-018- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:07:42.975872     kpi-019- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 12:08:19.979422     kpi-020- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
