kpi-001- start: 09_(L-1,R-8)---stop: 10_(L-1,R-9) 
kpi-002- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-003- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-004- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-005- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-006- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-007- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-008- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-009- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-010- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-011- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-012- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-013- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-014- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-015- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-016- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-017- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-018- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-019- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
kpi-020- start: 10_(L-1,R-9)---stop: 10_(L-1,R-9) 
