2025-10-05 11:16:31.627948     kpi-001- start: 06_(L-1,R-5)---stop: 07_(L-1,R-6) 
2025-10-05 11:17:08.449872     kpi-002- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:17:45.194898     kpi-003- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:18:22.290958     kpi-004- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:18:59.180272     kpi-005- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:19:36.180631     kpi-006- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:20:13.297760     kpi-007- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:20:49.917505     kpi-008- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:21:27.143648     kpi-009- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:22:04.060976     kpi-010- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:22:35.792544     kpi-011- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:23:08.788152     kpi-012- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:23:45.735324     kpi-013- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:24:22.316715     kpi-014- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:24:59.008168     kpi-015- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:25:36.131204     kpi-016- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:26:13.710682     kpi-017- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:26:50.349479     kpi-018- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:27:27.086572     kpi-019- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-05 11:28:04.257878     kpi-020- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
