2025-06-25 12:35:06.230391     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-06-25 12:35:51.957028     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-25 12:36:38.311327     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-06-25 12:37:24.569053     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:38:10.318001     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:38:56.478005     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:39:42.309904     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:40:27.498040     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:41:13.222005     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:41:59.326857     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:42:45.186119     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:43:31.390380     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:44:18.237411     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:45:04.162043     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:45:50.481289     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:46:36.201448     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:47:22.590253     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:48:09.566754     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:48:56.521032     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:49:43.854497     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
