2025-10-04 20:12:17.554908     kpi-001- start: 08_(L-1,R-7)---stop: 09_(L-1,R-8) 
2025-10-04 20:12:47.317566     kpi-002- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:13:16.825868     kpi-003- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:13:47.021130     kpi-004- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:14:16.678543     kpi-005- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:14:46.322277     kpi-006- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:15:16.011082     kpi-007- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:15:45.312175     kpi-008- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:16:14.642869     kpi-009- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:16:44.147602     kpi-010- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:17:13.817618     kpi-011- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:17:43.438966     kpi-012- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:18:13.026370     kpi-013- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:18:42.367948     kpi-014- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:19:11.952516     kpi-015- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:19:41.523565     kpi-016- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:20:11.175951     kpi-017- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:20:40.906189     kpi-018- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:21:10.235598     kpi-019- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-04 20:21:40.015734     kpi-020- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
