kpi-001- start: 12_(L-1,R-11)---stop: 13_(L-1,R-12) 
kpi-002- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-003- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-004- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-005- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-006- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-007- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-008- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-009- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-010- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-011- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-012- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-013- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-014- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-015- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-016- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-017- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-018- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-019- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
kpi-020- start: 13_(L-1,R-12)---stop: 13_(L-1,R-12) 
