2025-10-04 13:09:16.774342     kpi-001- start: 07_(L-1,R-6)---stop: 08_(L-1,R-7) 
2025-10-04 13:09:45.650999     kpi-002- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:10:14.488059     kpi-003- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:10:43.433528     kpi-004- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:11:12.687408     kpi-005- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:11:41.720379     kpi-006- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:12:10.735417     kpi-007- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:12:40.567714     kpi-008- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:13:09.814148     kpi-009- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:13:39.014919     kpi-010- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:14:08.342982     kpi-011- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:14:37.847856     kpi-012- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:15:07.019792     kpi-013- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:15:36.487682     kpi-014- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:16:05.620254     kpi-015- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:16:35.052169     kpi-016- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:17:04.360105     kpi-017- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:17:33.905338     kpi-018- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:18:03.147277     kpi-019- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-04 13:18:32.284670     kpi-020- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
