2025-10-06 19:52:51.006286     kpi-001- start: 03_(L-1,R-2)---stop: 03_(L-1,R-2) 
2025-10-06 19:53:11.073086     kpi-002- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-06 19:53:31.022151     kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:53:50.363814     kpi-004- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:54:10.441625     kpi-005- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:54:30.802719     kpi-006- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:54:54.272051     kpi-007- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:55:19.939639     kpi-008- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:55:49.568199     kpi-009- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:56:20.054213     kpi-010- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:56:50.103201     kpi-011- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:57:20.170762     kpi-012- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:57:50.226141     kpi-013- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:58:20.166061     kpi-014- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:58:49.973779     kpi-015- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:59:19.792088     kpi-016- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 19:59:49.959830     kpi-017- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:00:20.085989     kpi-018- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:00:50.318174     kpi-019- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:01:19.958719     kpi-020- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
