2025-06-21 15:50:20.501316     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-06-21 15:50:47.649842     kpi-002- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-06-21 15:51:14.016999     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:51:38.227526     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:52:02.286620     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:52:35.753182     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:53:09.235219     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:53:43.138531     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:54:16.657440     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:54:50.327185     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:55:24.041117     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:55:57.750885     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:56:31.393660     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:57:05.030921     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:57:38.548125     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:58:12.359107     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:58:46.072649     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:59:19.799739     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 15:59:53.488402     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-21 16:00:27.170848     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 

