2025-10-04 12:19:33.194764     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-04 12:19:52.433641     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-04 12:20:14.922848     kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-04 12:20:37.668224     kpi-004- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-04 12:20:59.684905     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:21:24.201538     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:21:53.147229     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:22:22.369643     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:22:51.764340     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:23:20.763644     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:23:49.938587     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:24:19.134682     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:24:48.278742     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:25:17.240303     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:25:46.309362     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:26:15.660712     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:26:44.843874     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:27:13.906014     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:27:43.005375     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:28:12.782261     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
