2025-10-06 20:12:24.771142     kpi-001- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-06 20:12:55.407709     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:13:26.200208     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:13:56.939532     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:14:28.001349     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:14:58.952715     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:15:29.907898     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:16:00.778586     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:16:31.929072     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:17:02.783381     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:17:33.640632     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:18:04.590606     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:18:35.568139     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:19:06.568278     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:19:37.411822     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:20:08.330483     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:20:39.657265     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:21:10.604893     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:21:41.586941     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:22:12.532122     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
