2025-10-04 12:49:15.792560     kpi-001- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:49:45.931909     kpi-002- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-10-04 12:50:15.455107     kpi-003- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:50:44.515623     kpi-004- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:51:14.075793     kpi-005- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:51:43.724169     kpi-006- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:52:13.502181     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:52:43.095714     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:53:12.516128     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:53:42.044306     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:54:11.843786     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:54:41.593441     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:55:11.119913     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:55:40.684486     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:56:10.267103     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:56:39.706931     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:57:09.119217     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:57:38.693697     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:58:08.386223     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-04 12:58:37.952216     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
