2025-06-20 21:12:39.151205     kpi-001- start: 06_(L-1,R-5)---stop: 07_(L-1,R-6) 
2025-06-20 21:13:16.191143     kpi-002- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:13:52.775359     kpi-003- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:14:29.015042     kpi-004- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:15:05.709458     kpi-005- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:15:42.562901     kpi-006- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:16:19.138176     kpi-007- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:16:56.074437     kpi-008- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:17:33.192181     kpi-009- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:18:10.085157     kpi-010- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:18:46.636294     kpi-011- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:19:23.612024     kpi-012- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:20:00.356443     kpi-013- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:20:37.100825     kpi-014- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:21:13.842601     kpi-015- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:21:50.299951     kpi-016- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:22:24.583024     kpi-017- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:22:58.950950     kpi-018- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:23:33.623450     kpi-019- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-06-20 21:24:08.413589     kpi-020- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
