2025-10-08 11:02:17.122251     kpi-001- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 11:02:46.370644     kpi-002- start: 06_(L-1,R-5)---stop: 07_(L-1,R-6) 
2025-10-08 11:03:15.687485     kpi-003- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:03:44.705282     kpi-004- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:04:14.053626     kpi-005- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:04:43.251347     kpi-006- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:05:12.829971     kpi-007- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:05:42.117110     kpi-008- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:06:11.296779     kpi-009- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:06:40.608227     kpi-010- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:07:09.703325     kpi-011- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:07:39.436469     kpi-012- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:08:08.660938     kpi-013- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:08:37.859755     kpi-014- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:09:07.173107     kpi-015- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:09:36.529890     kpi-016- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:10:05.619817     kpi-017- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:10:34.980019     kpi-018- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:11:04.313614     kpi-019- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 11:11:33.484683     kpi-020- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
