2025-10-04 19:21:26.147292     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-04 19:21:56.685794     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-04 19:22:26.928805     kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-04 19:22:57.202320     kpi-004- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-04 19:23:27.477748     kpi-005- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-04 19:23:57.614721     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:24:27.128820     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:24:57.184991     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:25:27.552540     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:25:57.447930     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:26:27.157831     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:26:56.821364     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:27:27.315544     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:27:57.128894     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:28:27.028599     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:28:56.758160     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:29:26.717027     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:29:56.281754     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:30:26.114623     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:30:56.118023     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
