2025-10-06 01:01:56.189415     kpi-001- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-06 01:02:25.634187     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:02:49.201473     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:03:18.465963     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:03:48.107440     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:04:17.802193     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:04:47.205670     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:05:16.701280     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:05:46.055876     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:06:15.684015     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:06:45.206667     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:07:14.780262     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:07:44.691077     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:08:14.865213     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:08:44.780459     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:09:14.912416     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:09:44.805118     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:10:14.870821     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:10:44.852223     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 01:11:14.568981     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
