2025-10-08 23:07:36.391142     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-08 23:08:14.132223     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-08 23:08:50.440837     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-08 23:09:27.851435     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:10:04.637778     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:10:41.704050     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:11:18.660087     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:11:55.933558     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:12:33.101989     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:13:09.589373     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:13:46.956454     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:14:24.489930     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:15:00.843607     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:15:37.999007     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:16:15.960452     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:16:53.351204     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:17:31.464746     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:18:08.834808     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:18:46.128112     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:19:23.678383     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
