2025-10-03 18:11:09.389211     kpi-001- start: 08_(L-1,R-7)---stop: 08_(L-1,R-7) 
2025-10-03 18:11:18.540119     kpi-002- start: 08_(L-1,R-7)---stop: 09_(L-1,R-8) 
2025-10-03 18:11:27.492974     kpi-003- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:11:36.064359     kpi-004- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:11:44.712011     kpi-005- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:11:54.718152     kpi-006- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:12:05.005169     kpi-007- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:12:15.345066     kpi-008- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:12:25.846991     kpi-009- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:12:36.053335     kpi-010- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:12:46.166225     kpi-011- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:12:56.411283     kpi-012- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:13:06.868551     kpi-013- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:13:16.928751     kpi-014- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:13:27.281074     kpi-015- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:13:37.519265     kpi-016- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:13:48.051741     kpi-017- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:13:58.539338     kpi-018- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:14:08.896821     kpi-019- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-03 18:14:19.100900     kpi-020- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
