2025-06-20 14:25:41.077872     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-06-20 14:25:56.773036     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 14:26:11.761989     kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 14:26:27.248591     kpi-004- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 14:26:42.871080     kpi-005- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 14:26:58.867896     kpi-006- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 14:27:14.867383     kpi-007- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 14:27:30.136229     kpi-008- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-06-20 14:27:44.815763     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:27:59.260454     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:28:13.468425     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:28:27.662817     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:28:42.060597     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:28:56.340038     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:29:11.962918     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:29:30.906703     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:29:49.946539     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:30:09.200068     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:30:28.325993     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 14:30:47.598293     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
