2025-10-07 21:48:25.544935     kpi-001- start: 03_(L-1,R-2)---stop: 03_(L-1,R-2) 
2025-10-07 21:48:34.993101     kpi-002- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-07 21:48:43.814341     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-07 21:48:52.333768     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:01.008162     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:09.539562     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:17.921802     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:26.241204     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:34.843171     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:43.139729     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:51.434242     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:49:59.912929     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:50:08.942659     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:50:17.317068     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:50:25.885221     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:50:34.336915     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:50:42.865795     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:50:51.196065     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:50:59.617397     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-07 21:51:09.245071     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
