2025-10-08 22:56:08.721817     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-08 22:56:35.888907     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-08 22:57:02.318713     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-08 22:57:31.385485     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 22:58:02.334106     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 22:58:33.367852     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 22:59:04.307449     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 22:59:35.474474     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:00:07.715223     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:00:44.477039     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:01:15.987609     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:01:52.745233     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:02:29.700796     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:03:06.749544     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:03:43.554000     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:04:20.223240     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:04:57.094619     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:05:33.907833     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:06:09.983772     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 23:06:46.595682     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
