2025-10-04 12:28:54.826579     kpi-001- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
2025-10-04 12:29:25.051622     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:29:55.063895     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:30:25.025106     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:30:54.967251     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:31:24.989357     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:31:55.007301     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:32:25.112477     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:32:54.921174     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:33:25.249433     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:33:55.565231     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:34:25.691369     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:34:55.819472     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:35:25.840789     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:35:55.784431     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:36:25.636586     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:36:55.736905     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:37:25.775290     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:37:55.955481     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 12:38:26.397996     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
