2025-10-08 01:28:31.276661     kpi-001- start: 05_(L-1,R-4)---stop: 07_(L-1,R-6) 
2025-10-08 01:29:00.471470     kpi-002- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 01:29:29.089931     kpi-003- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 01:29:57.943635     kpi-004- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 01:30:27.038830     kpi-005- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 01:30:56.128775     kpi-006- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 01:31:25.451707     kpi-007- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 01:31:54.920007     kpi-008- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 01:32:23.958654     kpi-009- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 10:53:02.506923     kpi-001- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 10:53:22.679342     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 10:53:42.587082     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 10:54:02.189635     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 10:54:23.989348     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 10:54:47.123052     kpi-006- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-10-08 10:55:13.121579     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:55:42.740877     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:56:11.509360     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:56:40.406098     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:57:09.809402     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:57:38.665069     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:58:08.207794     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:58:37.607485     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:59:06.897958     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 10:59:36.430792     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 11:00:05.873324     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 11:00:34.987731     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 11:01:04.313824     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-08 11:01:33.722453     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
