2025-10-06 20:53:10.285065     kpi-001- start: 08_(L-1,R-7)---stop: 09_(L-1,R-8) 
2025-10-06 20:53:39.855259     kpi-002- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:54:09.279548     kpi-003- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:54:39.082805     kpi-004- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:55:08.635902     kpi-005- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:55:38.388451     kpi-006- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:56:08.117769     kpi-007- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:56:37.858613     kpi-008- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:57:07.480812     kpi-009- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:57:37.206848     kpi-010- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:58:06.942019     kpi-011- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:58:36.599801     kpi-012- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:59:06.172000     kpi-013- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 20:59:35.649886     kpi-014- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 21:00:05.138097     kpi-015- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 21:00:34.797206     kpi-016- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 21:01:04.708432     kpi-017- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 21:01:34.353869     kpi-018- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 21:02:03.871614     kpi-019- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
2025-10-06 21:02:33.787884     kpi-020- start: 09_(L-1,R-8)---stop: 09_(L-1,R-8) 
