2025-10-07 07:35:15.533409     kpi-001- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-07 07:35:53.233223     kpi-002- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-07 07:36:30.566618     kpi-003- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-10-07 07:37:07.827955     kpi-004- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:37:45.727644     kpi-005- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:38:23.955468     kpi-006- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:39:01.736829     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:39:39.281745     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:40:17.874951     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:40:56.033732     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:41:33.903088     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:42:11.902372     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:42:49.731006     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:43:27.498059     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:44:05.096006     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:44:42.852801     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:45:21.177287     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:45:59.344371     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:46:37.094078     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-07 07:47:15.201121     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
