2025-10-06 20:22:55.303143     kpi-001- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-06 20:23:24.854722     kpi-002- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-10-06 20:23:54.831469     kpi-003- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:24:24.964744     kpi-004- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:24:55.142444     kpi-005- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:25:25.359735     kpi-006- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:25:55.786513     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:26:25.796691     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:26:55.732540     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:27:25.860291     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:27:55.792682     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:28:25.945390     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:28:56.025248     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:29:25.572492     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:29:55.593075     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:30:25.574710     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:30:55.595375     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:31:25.633246     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:31:55.548498     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-06 20:32:25.331377     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
