2025-10-05 10:38:15.248227     kpi-001- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
2025-10-05 10:38:52.193288     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:39:29.159332     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:40:05.856144     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:40:42.998796     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:41:19.758614     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:41:56.211290     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:42:33.019328     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:43:10.146118     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:43:47.148780     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:44:23.865272     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:45:01.094887     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:45:38.016155     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:46:14.442984     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:46:51.315972     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:47:28.372368     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:48:05.634316     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:48:43.029831     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:49:19.854377     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 10:49:57.416779     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
