2025-10-06 20:02:02.620547     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-06 20:02:32.694834     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:03:03.082797     kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:03:33.451584     kpi-004- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:04:03.705991     kpi-005- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:04:33.941327     kpi-006- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:05:04.455653     kpi-007- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:05:34.655801     kpi-008- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:06:05.519332     kpi-009- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:06:35.763043     kpi-010- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:07:06.694339     kpi-011- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:07:37.414164     kpi-012- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:08:07.827559     kpi-013- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:08:39.038648     kpi-014- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:09:09.846968     kpi-015- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:09:40.036379     kpi-016- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:10:10.681800     kpi-017- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:10:41.132124     kpi-018- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:11:11.381696     kpi-019- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-06 20:11:42.006259     kpi-020- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
