2025-10-04 19:11:24.407547     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-04 19:11:53.767860     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-10-04 19:12:23.208252     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-04 19:12:52.379160     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:13:21.535700     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:13:50.700832     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:14:20.011817     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:14:48.931747     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:15:18.237894     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:15:47.999395     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:16:17.617453     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:16:46.878014     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:17:16.466488     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:17:46.062905     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:18:15.485652     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:18:45.136925     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:19:14.844064     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:19:44.390939     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:20:13.746298     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-04 19:20:43.365091     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
