2025-10-08 17:25:33.568731     kpi-001- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-10-08 17:26:03.690407     kpi-002- start: 06_(L-1,R-5)---stop: 07_(L-1,R-6) 
2025-10-08 17:26:33.556275     kpi-003- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:27:03.286236     kpi-004- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:27:33.054095     kpi-005- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:28:02.777792     kpi-006- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:28:32.287691     kpi-007- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:29:01.869182     kpi-008- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:29:31.642563     kpi-009- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:30:01.339655     kpi-010- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:30:31.281599     kpi-011- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:31:00.960742     kpi-012- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:31:30.762427     kpi-013- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:32:00.437790     kpi-014- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:32:30.187058     kpi-015- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:32:59.904186     kpi-016- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:33:30.066433     kpi-017- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:33:59.677224     kpi-018- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:34:29.336524     kpi-019- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-08 17:34:59.160648     kpi-020- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
