2025-10-08 00:59:15.776392     kpi-001- start: 03_(L-1,R-2)---stop: 03_(L-1,R-2) 
2025-10-08 00:59:38.500162     kpi-002- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
2025-10-08 00:59:59.742385     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:00:18.846146     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:00:40.491863     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:01:06.726613     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:01:35.414684     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:02:04.168787     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:02:32.926059     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:03:01.991794     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:03:30.624018     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:03:59.135184     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:04:27.950854     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:04:56.455737     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:05:25.413864     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:05:54.168097     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:06:23.008215     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:06:51.823119     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:07:20.560382     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 01:07:49.354579     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
