2025-06-25 13:06:22.986445     kpi-001- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-06-25 13:07:10.213816     kpi-002- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:07:56.812862     kpi-003- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:08:44.145658     kpi-004- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:09:30.710357     kpi-005- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:10:16.718087     kpi-006- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:11:04.469139     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:11:51.885153     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:12:38.316903     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:13:25.079208     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:14:11.787760     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:14:58.095762     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:15:45.378534     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:16:32.025776     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:17:19.467601     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:18:06.497135     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:18:53.922732     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:19:40.534053     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:20:28.388316     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-06-25 13:21:15.399981     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
