kpi-001- start: 20_(L-1,R-19)---stop: 21_(L-1,R-20) 
kpi-002- start: 21_(L-1,R-20)---stop: 21_(L-1,R-20) 
kpi-003- start: 21_(L-1,R-20)---stop: 21_(L-1,R-20) 
kpi-004- start: 21_(L-1,R-20)---stop: 21_(L-1,R-20) 
kpi-005- start: 21_(L-1,R-20)---stop: 21_(L-1,R-20) 
kpi-006- start: 21_(L-1,R-20)---stop: 22_(L-1,R-21) 
kpi-007- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-008- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-009- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-010- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-011- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-012- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-013- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-014- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-015- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-016- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-017- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-018- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-019- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
kpi-020- start: 22_(L-1,R-21)---stop: 22_(L-1,R-21) 
