2025-06-20 20:22:53.671642     kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-06-20 20:23:20.291702     kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:23:47.018967     kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:24:15.072628     kpi-004- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:24:42.494835     kpi-005- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:25:09.945519     kpi-006- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
2025-06-20 20:25:37.447569     kpi-007- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-06-20 20:26:04.322346     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:26:40.334415     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:27:16.915129     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:27:54.047879     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:28:31.670416     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:29:08.781883     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:29:46.134558     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:30:23.232681     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:31:00.364196     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:31:38.085640     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:32:15.278280     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:32:52.455137     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-20 20:33:30.051189     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
