2025-06-25 12:50:42.684044     kpi-001- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-06-25 12:51:28.291295     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:52:13.551472     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:52:58.216764     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:53:44.134415     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:54:30.137174     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:55:17.311361     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:56:03.770319     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:56:51.265740     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:57:37.767893     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:58:24.682489     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:59:11.358965     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 12:59:58.886481     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 13:00:46.020540     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 13:01:33.343388     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 13:02:20.134000     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 13:03:06.751703     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 13:03:49.588664     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 13:04:34.782985     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-06-25 13:05:21.615119     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
