2025-10-03 17:50:40.052122     kpi-001- start: 03_(L-1,R-2)---stop: 03_(L-1,R-2) 
2025-10-03 17:50:49.552342     kpi-002- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
2025-10-03 17:50:58.389866     kpi-003- start: 04_(L-1,R-3)---stop: 05_(L-1,R-4) 
2025-10-03 17:51:06.886020     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:51:16.474357     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:51:26.746720     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:51:36.793119     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:51:46.734565     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:51:55.349534     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:52:04.316495     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:52:12.635731     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:52:21.179754     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:52:29.710089     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:52:38.065655     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:52:46.639849     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:52:55.076745     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:53:03.630249     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:53:11.978309     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:53:20.495268     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-03 17:53:29.109571     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
