2025-10-07 08:01:01.105571     kpi-001- start: 06_(L-1,R-5)---stop: 07_(L-1,R-6) 
2025-10-07 08:01:37.380215     kpi-002- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:02:13.727898     kpi-003- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:02:50.169925     kpi-004- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:03:25.978813     kpi-005- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:04:02.170221     kpi-006- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:04:38.545441     kpi-007- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:05:15.240039     kpi-008- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:05:51.534268     kpi-009- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:06:28.106773     kpi-010- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:07:04.734874     kpi-011- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:07:41.246253     kpi-012- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:08:17.811048     kpi-013- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:08:54.199205     kpi-014- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:09:30.443467     kpi-015- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:10:06.718799     kpi-016- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:10:43.183669     kpi-017- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:11:19.947067     kpi-018- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:11:56.473114     kpi-019- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
2025-10-07 08:12:33.687519     kpi-020- start: 07_(L-1,R-6)---stop: 07_(L-1,R-6) 
