2025-10-08 17:05:20.388536     kpi-001- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
2025-10-08 17:05:50.106223     kpi-002- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:06:19.548763     kpi-003- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:06:49.015911     kpi-004- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:07:18.535498     kpi-005- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:07:48.161741     kpi-006- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:08:17.591668     kpi-007- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:08:46.813485     kpi-008- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:09:16.233627     kpi-009- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:09:45.384095     kpi-010- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:10:14.906789     kpi-011- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:10:44.514967     kpi-012- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:11:14.401210     kpi-013- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:11:43.745725     kpi-014- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:12:13.005048     kpi-015- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:12:42.928656     kpi-016- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:13:12.570553     kpi-017- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:13:41.799926     kpi-018- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:14:11.193104     kpi-019- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-08 17:14:40.840455     kpi-020- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
